turfID;alutray_ID;alutray_weight;wet_mass_g;dry_mass1;dry_mass2;dry_mass3;dry_mass4;porcelain_ID;porcelain_weight;burn_mass1;burn_mass2;total_cf_mass
;JOA A B2 M;3,8095;12,5277;10,0013;6,9713;6,9059;11,2732;5;9,171;10,7268;10,7064;3,8897
;JOA A B2 I;3,8092;15,0508;9,4129;6,6144;6,5433;10,8987;6;9,0239;10,2958;10,2775;4,7085
;JOA A B2 C;3,8239;14,726;10,1059;6,1152;6,0446;10,3652;7;8,9471;9,7763;9,7642;3,7672
;JOA A B2 N;3,8037;21,9156;16,7154;10,0844;9,953;11,9466;8;9,025;11,2955;11,2645;5,0963
;JOA A B3 M;3,8016;25,9401;22,2873;14,0519;13,8551;12,86;9;8,9025;12,2474;12,205;3,0658
;JOA A B3 I;3,8383;11,2095;8,8564;6,4699;6,4094;10,8912;10;9,0325;10,3085;10,2902;2,4686
;JOA A B3 C;3,8378;21,5895;16,1264;10,1422;9,9979;12,5744;11;9,4347;11,887;11,8555;3,7867
;JOA A B3 N;3,849;15,3077;11,5943;6,9427;6,8716;10,9988;12;9,0001;10,3979;10,3767;2,4869
;JOA A B4 M;3,8117;22,8233;17,0494;10,2731;10,1716;12,6799;13;9,1189;12,0322;11,9959;2,6382
;JOA A B4 I;3,8282;20,313;16,5131;9,3603;9,2472;12,3267;14;9,005;11,5604;11,5247;2,4332
;JOA A B4 C;3,8211;7,643;6,2861;5,1139;5,0717;9,817;16;9,0472;9,4405;9,4337;6,0029
;JOA A B4 N;3,8022;8,6642;6,9148;5,1372;5,1038;9,7755;17;8,9689;9,4529;9,4452;2,6399
;JOA A B5 M;3,8234;17,4872;14,8648;8,6877;8,6168;12,1599;18;9,2292;11,626;11,597;5,6687
;JOA A B5 I;3,8043;9,9026;8,3963;5,9357;5,8994;10,8221;19;9,2658;10,4299;10,4037;3,8804
;JOA A B5 C;3,7951;15,0036;10,0674;7,1153;7,0492;11,148;20;8,8971;10,5721;10,5491;3,775
;JOA A B5 N;3,7963;12,7976;10,2212;6,6865;6,6319;10,7217;21;8,9459;10,3165;10,2976;3,6201
;JOA A B6 M;3,8384;11,8983;8,5959;5,9447;5,898;10,3458;22;8,9418;9,8522;9,8397;2,2772
;JOA A B6 I;3,816;27,1926;21,7789;12,8696;12,7152;12,7803;23;8,9877;12,0555;12,012;2,8962
;JOA A B6 C;3,8242;11,0208;9,0149;6,3585;6,302;10,6494;24;9,0004;10,1294;10,1138;2,5675
;JOA A B6 N;3,8014;11,3925;9,3357;6,3114;6,2625;10,8886;25;8,9922;10,3389;10,3207;3,2532
;JOA A B7 M;3,7959;22,64;15,8512;9,5691;9,4529;11,8908;26;8,93;11,2268;11,1933;2,9699
;JOA A B7 I;3,8376;32,0292;24,5798;12,7818;12,5877;12,3453;27;8,7875;11,6446;11,6047;7,1098
;JOA A B7 C;3,8149;28,2184;22,829;11,6666;11,4605;12,0444;29;8,9626;11,4086;11,3728;4,8139
;JOA A B7 N;3,824;23,1599;19,1036;10,5376;10,4015;12,7277;30;9,2073;12,1143;12,0739;9,1649
;JOA A B8 M;3,8212;17,8668;14,8706;9,706;9,6046;12,5316;31;9,1537;11,8527;11,8147;2,6109
;JOA A B8 I;3,8155;27,3919;21,2849;12,1992;12,0853;13,0778;32;9,2558;12,4808;12,4336;7,5875
;JOA A B8 C;3,8178;11,7528;9,0507;6,2351;6,1833;10,4567;33;8,9621;9,9736;9,9577;7,0827
;JOA A B8 N;3,8042;34,2396;29,533;15,0998;14,9373;13,8381;34;9,0814;13,0523;12,9941;2,8309
;JOA A B9 M;3,8114;25,5827;18,2191;10,7726;10,619;12,9431;35;9,479;12,1771;12,1345;4,7223
;JOA A B9 I;3,7954;31,5309;24,0158;12,7664;12,5821;12,727;36;8,7319;11,9087;11,8541;4,1523
;JOA A B9 C;3,8069;48,3858;33,3978;15,6086;15,391;11,9928;37;9,084;11,4484;11,4095;4,3417
;JOA A B9 N;3,7982;28,6116;21,8036;12,0403;11,8847;12,7566;39;8,8157;11,9252;11,8752;2,8261
;JOA A B10 M;3,7733;24,9009;17,8524;10,0607;9,9482;12,7977;40;9,1845;12,159;12,1083;6,1698
